strike,bid,ask,ltp,iv_nse,oi,volume,option_type,price,iv_model,moneyness,bs_price_atm,abs_error,delta,gamma,vega
25900.0,129.35,129.6,129.6,7.99,"1,36,152","12,99,482",CALL,129.475,0.15477910546837248,1.0058682118459428,123.24622354248459,6.2287764575154085,0.39168182883326763,0.0008531582744420868,1157.6917191653251
25950.0,99.0,99.15,99.2,7.94,"1,35,514","13,28,023",CALL,99.075,0.14403343114637873,1.007810042370742,105.05539374153705,5.980393741537043,0.35003340846541686,0.0008226570675169516,1116.3031565274391
26000.0,73.75,73.9,73.9,7.91,"2,43,153","16,89,813",CALL,73.825,0.1350507316369031,1.009751872895541,88.8877837936434,15.06278379364339,0.31019067032642145,0.0007837378821642093,1063.4918318890016
26050.0,52.85,52.95,52.95,7.89,93915,"7,04,320",CALL,52.900000000000006,0.12695899489834328,1.0116937034203402,74.64048257872673,21.740482578726727,0.2725303123255265,0.0007377612816337392,1001.1039593171693
26100.0,36.45,36.55,36.55,7.89,"1,32,076","9,04,476",CALL,36.5,0.12001213329101358,1.0136355339451393,62.19414659904851,25.69414659904851,0.23735529114414194,0.0006862524625836766,931.2091519120158
26150.0,24.55,24.6,24.6,7.86,79116,"5,93,277",CALL,24.575000000000003,0.11465438060793517,1.0155773644699384,51.416885142250976,26.841885142250973,0.204889292253376,0.0006308190786074322,855.9889125764994
26200.0,16.2,16.25,16.2,7.94,"1,20,277","6,10,516",CALL,16.225,0.1106387130985175,1.0175191949947375,42.16828711708513,25.943287117085127,0.17527527923533048,0.0005730706583744886,777.6272885949736
26250.0,10.6,10.65,10.65,8.03,67021,"3,86,421",CALL,10.625,0.10788430873230029,1.0194610255195367,34.30339308123257,23.67839308123257,0.14857786164671866,0.0005145450091006961,698.2110049430908
26300.0,7.0,7.05,7,8.2,"1,26,313","4,31,245",CALL,7.025,0.10639031628892003,1.0214028560443358,27.676437034504033,20.651437034504035,0.12478898437239866,0.00045664594013548833,619.6449584117644
26350.0,4.9,4.95,4.9,8.47,54267,"2,62,627",CALL,4.925000000000001,0.10670870693194895,1.023344686569135,22.144213406814288,17.219213406814287,0.10383626796294354,0.0004005953013599701,543.5871361902335
26400.0,3.65,3.7,3.7,8.86,74705,"2,45,873",CALL,3.675,0.10840978454927218,1.025286517093934,17.56896186217591,13.89396186217591,0.08559322761153643,0.0003474008724265222,471.4050432224869
26450.0,2.95,3.0,2.95,9.29,31429,"1,30,529",CALL,2.975,0.11155244998685103,1.0272283476187332,13.820702431591599,10.845702431591599,0.06989056880706744,0.0002978402212030446,404.15379894969215
26500.0,2.6,2.65,2.6,9.82,"1,21,380","3,91,938",CALL,2.625,0.116074311540718,1.0291701781435323,10.778992658635616,8.153992658635616,0.05652779367026699,0.0002524594080590123,342.5743790932873
26550.0,2.15,2.2,2.15,10.32,20305,"1,15,816",CALL,2.175,0.11934611229425068,1.0311120086683314,8.334113992916173,6.159113992916173,0.04528444135322694,0.00021158444424236423,287.10916408067953
26600.0,1.95,2.0,2,10.9,80231,"2,45,151",CALL,1.975,0.12406739102335063,1.0330538391931305,6.387724433000017,4.412724433000017,0.035930413034268374,0.000175342771163648,237.93108532458498
26650.0,1.7,1.75,1.75,11.41,19143,72397,CALL,1.725,0.12798472858164392,1.0349956697179297,4.853037067188211,3.128037067188211,0.02823498010830756,0.00014369172312461313,194.98224767584236
26700.0,1.5,1.55,1.5,11.92,79619,"1,74,672",CALL,1.525,0.13198908878417753,1.0369375002427288,3.654599179410752,2.1295991794107523,0.02197422705879314,0.00011645094153732179,158.01791384479407
26750.0,1.45,1.5,1.5,12.5,20138,76688,CALL,1.475,0.13743871351730857,1.038879330767528,2.727754203958284,1.252754203958284,0.016936824437700414,9.333596868198086e-05,126.65208939579732
26800.0,1.35,1.4,1.4,13.12,71056,"1,67,847",CALL,1.375,0.1421518361671381,1.040821161292327,2.017869832921747,0.6428698329217468,0.012928151971153174,7.39906917540031e-05,100.40154764359383
26850.0,1.3,1.35,1.35,13.73,20092,32481,CALL,1.3250000000000002,0.14736950566159407,1.0427629918171262,1.4794112059722124,0.15441120597221225,0.00977289045241836,5.8016856407392764e-05,78.72587800752977
26900.0,1.3,1.35,1.35,14.4,46822,89140,CALL,1.3250000000000002,0.15320452438762822,1.0447048223419253,1.0749297507321955,0.25007024926780463,0.007316270916673952,4.499945086764476e-05,61.061930941860105
26950.0,1.2,1.25,1.25,14.99,10637,18757,CALL,1.225,0.15750680928784982,1.0466466528667244,0.7740273340727128,0.45097266592728724,0.005424211002062878,3.4527316404735254e-05,46.85178528321995
27000.0,1.15,1.2,1.15,15.49,"1,42,683","2,69,501",CALL,1.1749999999999998,0.1624244088093243,1.0485884833915236,0.5523432649021487,0.6226567350978511,0.003982584290333027,2.6208822963432116e-05,35.564019271426524
27050.0,1.05,1.1,1.05,15.97,11082,28925,CALL,1.0750000000000002,0.16636129876313138,1.0505303139163227,0.39059948850901094,0.6844005114909892,0.0028958633455940246,1.9682832816623958e-05,26.708587660855944
27100.0,0.95,1.0,1,16.51,28200,42036,CALL,0.975,0.17005188328553514,1.0524721444411218,0.27372790417538084,0.7012720958246191,0.0020853565046269258,1.462544929407019e-05,19.84597939683553
27150.0,0.9,0.95,0.95,17.05,6443,9026,CALL,0.925,0.174532642181586,1.0544139749659207,0.19009372001755764,0.7349062799824424,0.0014872276757781592,1.075321454568323e-05,14.591556815277237
27200.0,0.85,0.9,0.85,17.46,42578,50148,CALL,0.875,0.1788911389122445,1.0563558054907198,0.13082047093344684,0.7441795290665532,0.001050452461656204,7.82349241146399e-06,10.616075177407698
27250.0,0.85,0.9,0.9,18.07,6490,5590,CALL,0.875,0.18429036992292305,1.058297636015519,0.08921588335226005,0.78578411664774,0.0007348269806755361,5.632768275225657e-06,7.643375659071271
27300.0,0.8,0.85,0.85,18.57,31281,23040,CALL,0.825,0.18846639177181013,1.060239466540318,0.06029311627612266,0.7647068837238773,0.0005091109520152978,4.013538201000893e-06,5.4461640694874776
